产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
成语猜猜猜,,,其他,单机弱联网,休闲益智
速度与激情8,,,其他,单机弱联网,赛车竞速
小小英雄,,,其他,单机弱联网,休闲益智
叶罗丽美甲梦,,,其他,单机弱联网,休闲益智
果汁四溅2,,,其他,单机弱联网,消除
快乐小鸡,,,其他,单机弱联网,休闲益智
奇迹MU:觉醒,,,腾讯,网游,MMO
火柴人绳索英雄,,,其他,单机弱联网,ARPG
僵尸漫步,,,其他,网游,休闲益智
奥特曼传说之战,,,其他,网游,ARPG
枪火战神,,,其他,网游,枪战射击
万人斗地主,,,其他,网游,棋牌
野蛮人大作战,,,其他,网游,ARPG
我的酷跑世界,,,其他,单机弱联网,跑酷躲避
最逵蜗烦,,,其他,单机弱联网,休闲益智
猎魂觉醒,,,网易,网游,ARPG
奥特曼正义降临,,,其他,网游,ARPG
火柴人联盟2,,,其他,网游,ARPG
我的加菲猫,,,其他,网游,跑酷躲避
叫我万岁爷,,,其他,网游,模拟经营
饥饿鲨：世界,,,其他,网游,休闲益智
创造与魔法,,,其他,网游,模拟经营
Bottle Flip,,,其他,单机弱联网,休闲益智
麻将来了,,,腾讯,网游,棋牌
汤姆猫水上乐园,,,其他,网游,休闲益智
QQ飞车,,,腾讯,网游,赛车竞速
快趣抓娃娃,,,其他,网游,休闲益智
胡莱三国2,,,其他,网游,战争策略
腾讯贵州麻将,,,腾讯,网游,棋牌
长生诀,,,其他,网游,MMO
封神召唤师,,,其他,网游,卡牌RPG
昆仑墟,,,其他,网游,MMO
刀剑乱舞-ONLINE-,,,其他,网游,战争策略
地下城堡2,,,其他,网游,模拟经营
多乐跑得快,,,其他,网游,棋牌
辐射避难所,,,其他,网游,模拟经营
我的使命,,,其他,网游,战争策略
抓娃娃大作战,,,其他,网游,休闲益智
小小突击队,,,其他,网游,枪战射击
三国志2017,,,其他,网游,战争策略
开心抓娃娃,,,其他,网游,休闲益智
青云诀,,,其他,网游,MMO
捕鱼大作战,,,其他,NULL,休闲益智
满贯捕鱼,,,其他,网游,休闲益智
2048消消乐,,,其他,单机弱联网,消除
朋友局,,,其他,网游,棋牌
欢乐切水果大作战,,,其他,单机弱联网,休闲益智
大天使之剑,,,其他,网游,MMO
